type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
W,2019-04-07 10:19:37,51.86567377,6.03625870,4,59.000,,0.321,303,8,24,,Thuis
W,2019-04-07 10:34:59,51.86058113,6.03991011,3,58.000,,0.000,,13,23,,Manon
T,2019-04-07 10:19:12,51.86564945,6.03628291,3,58.000,,0.000,,8,24,20190407-121912,GPS Logger: 20190407-121912
T,2019-04-07 10:19:13,51.86564917,6.03628302,3,58.000,,0.000,,8,24,,
T,2019-04-07 10:19:14,51.86564905,6.03628293,3,58.000,,0.000,,8,23,,
T,2019-04-07 10:19:15,51.86564903,6.03628283,3,58.000,,0.000,,9,24,,
T,2019-04-07 10:19:16,51.86565004,6.03627955,3,58.000,,0.361,274,9,24,,
T,2019-04-07 10:19:17,51.86565379,6.03626620,3,58.000,,0.796,303,9,24,,
T,2019-04-07 10:19:18,51.86566181,6.03625492,3,58.000,,1.090,303,8,24,,
T,2019-04-07 10:19:19,51.86566633,6.03625357,3,58.000,,0.722,303,9,23,,
T,2019-04-07 10:19:20,51.86566797,6.03627022,3,58.000,,0.991,303,9,23,,
T,2019-04-07 10:19:21,51.86566904,6.03626874,3,58.000,,0.000,,9,23,,
T,2019-04-07 10:19:22,51.86566970,6.03626873,3,58.000,,0.000,,9,24,,
T,2019-04-07 10:19:23,51.86567010,6.03626921,3,59.000,,0.000,,9,24,,
T,2019-04-07 10:19:24,51.86567000,6.03626970,3,59.000,,0.000,,9,24,,
T,2019-04-07 10:19:25,51.86567077,6.03627010,3,59.000,,0.000,,9,24,,
T,2019-04-07 10:19:26,51.86567135,6.03627216,3,59.000,,0.000,,9,24,,
T,2019-04-07 10:19:27,51.86567232,6.03627320,3,59.000,,0.000,,8,24,,
T,2019-04-07 10:19:28,51.86567374,6.03627376,3,60.000,,0.000,,8,24,,
T,2019-04-07 10:19:29,51.86567425,6.03627340,3,59.000,,0.000,,8,24,,
T,2019-04-07 10:19:30,51.86567372,6.03627421,3,59.000,,0.000,,8,24,,
T,2019-04-07 10:19:31,51.86567332,6.03627527,3,59.000,,0.000,,8,24,,
T,2019-04-07 10:19:32,51.86567349,6.03627582,3,59.000,,0.000,,8,24,,
T,2019-04-07 10:19:33,51.86567358,6.03627558,3,59.000,,0.000,,8,24,,
